date,temp_max,temp_min,temp_mean,precipitation,windspeed,winddirection
2024-02-27,9.7,4.1,6.5,0.0,26.5,358
2024-02-28,10.9,0.2,6.2,0.0,13.5,226
2024-02-29,10.4,8.1,9.4,2.8,24.0,191
2024-03-01,10.9,4.3,7.4,3.8,35.7,202
2024-03-02,8.9,5.0,6.6,11.7,25.9,191
2024-03-03,8.8,3.3,6.0,2.7,13.9,309
2024-03-04,11.2,0.3,5.8,1.1,14.4,192
2024-03-05,9.5,4.6,7.0,7.4,19.2,214
2024-03-06,9.6,2.9,6.3,2.8,10.0,29
2024-03-07,12.8,1.2,6.6,0.0,19.3,92
2024-03-08,13.6,2.6,8.4,0.0,25.6,119
2024-03-09,13.6,6.0,9.2,4.9,25.5,142
2024-03-10,10.6,5.3,7.8,2.7,13.8,192
2024-03-11,12.1,4.1,7.7,1.6,20.3,268
2024-03-12,11.6,6.8,9.1,5.2,18.4,234
2024-03-13,14.3,8.6,11.5,0.0,16.1,225
2024-03-14,17.5,5.6,11.3,0.0,16.7,188
2024-03-15,16.1,11.4,13.1,7.2,28.8,231
2024-03-16,14.7,9.6,11.8,0.4,21.6,264
2024-03-17,15.5,9.0,11.5,5.0,16.1,182
2024-03-18,16.2,10.2,12.8,3.0,12.4,274
2024-03-19,17.2,6.8,11.6,0.0,10.4,250
2024-03-20,19.2,6.1,12.5,0.0,9.4,98
2024-03-21,18.1,7.5,12.5,0.0,11.3,317
2024-03-22,17.6,7.2,11.5,0.8,19.4,288
2024-03-23,10.9,5.1,7.5,7.6,28.4,272
2024-03-24,11.4,3.9,7.1,0.8,28.3,276
2024-03-25,12.9,1.7,7.6,0.0,21.1,133
2024-03-26,12.5,5.5,9.5,8.0,23.6,170
2024-03-27,12.5,5.0,8.2,1.3,29.0,191
2024-03-28,12.0,5.6,9.2,3.5,39.0,204
2024-03-29,13.3,8.4,10.5,8.3,22.4,196
2024-03-30,12.1,6.6,9.0,11.6,14.9,186
2024-03-31,14.0,6.2,10.0,2.4,22.7,156
2024-04-01,13.7,6.7,9.9,1.7,23.4,220
2024-04-02,13.9,7.6,10.7,0.8,33.7,215
2024-04-03,16.1,10.0,12.7,7.3,28.2,223
2024-04-04,18.0,12.3,14.4,11.3,39.8,224
2024-04-05,18.1,12.3,15.1,3.3,26.3,192
2024-04-06,24.1,12.7,17.3,0.0,23.2,178
2024-04-07,17.1,12.6,15.3,14.5,17.6,217
2024-04-08,21.4,8.3,14.5,4.4,20.3,186
2024-04-09,12.5,7.3,9.9,1.2,31.7,247
2024-04-10,15.8,5.1,10.2,0.0,14.8,257
2024-04-11,17.8,10.5,14.2,0.5,11.4,228
2024-04-12,22.2,9.7,16.0,0.0,13.1,194
2024-04-13,24.2,10.4,17.4,0.0,17.7,206
2024-04-14,20.1,9.7,14.1,0.0,16.3,314
2024-04-15,13.5,7.0,10.0,2.8,39.8,266
2024-04-16,13.0,6.3,9.2,2.8,27.8,288
2024-04-17,11.9,4.4,7.4,1.3,22.0,307
2024-04-18,12.0,2.8,7.5,0.7,15.4,344
2024-04-19,12.4,6.9,9.5,0.8,29.5,284
2024-04-20,10.3,3.5,7.0,0.1,20.6,349
2024-04-21,10.6,3.2,6.8,1.7,28.7,360
2024-04-22,10.6,2.6,6.6,0.6,18.5,9
2024-04-23,11.3,1.2,6.5,0.0,19.2,352
2024-04-24,10.8,3.9,7.6,1.2,27.4,318
2024-04-25,12.3,1.3,7.6,0.2,11.1,238
2024-04-26,15.3,4.2,9.9,4.0,18.0,188
2024-04-27,16.0,8.5,12.0,17.4,20.4,146
2024-04-28,15.5,8.8,12.0,1.7,28.0,209
2024-04-29,17.8,5.8,12.5,0.4,15.5,176
2024-04-30,18.6,10.3,14.1,8.4,22.5,158
2024-05-01,19.4,11.6,15.4,1.9,20.8,305
2024-05-02,15.2,10.5,11.9,7.4,23.2,268
2024-05-03,15.7,8.8,11.8,2.6,21.9,227
2024-05-04,15.1,6.5,10.9,0.7,12.4,176
2024-05-05,17.4,10.1,13.2,1.7,19.6,197
2024-05-06,17.1,9.4,13.4,3.5,18.6,216
2024-05-07,18.6,8.2,13.4,1.1,23.5,2
2024-05-08,16.3,8.3,12.2,0.0,15.4,10
2024-05-09,19.4,7.3,13.7,0.0,11.9,33
2024-05-10,22.5,9.4,16.4,0.0,14.8,52
2024-05-11,24.7,10.0,17.9,0.0,15.2,77
2024-05-12,24.2,11.9,18.1,8.3,12.7,183
2024-05-13,20.8,14.4,17.2,0.0,19.6,183
2024-05-14,16.2,13.1,14.7,17.2,14.1,177
2024-05-15,19.0,12.2,15.1,2.2,14.1,188
