date,temp_max,temp_min,temp_mean,precipitation,windspeed,winddirection
2024-02-27,9.7,4.1,6.5,0.0,26.5,358
2024-02-28,10.9,0.2,6.2,0.0,13.5,226
2024-02-29,10.4,8.1,9.4,2.8,24.0,191
2024-03-01,10.9,4.3,7.4,3.8,35.7,202
2024-03-02,8.9,5.0,6.6,11.7,25.9,191
2024-03-03,8.8,3.3,6.0,2.7,13.9,309
2024-03-04,11.2,0.3,5.8,1.1,14.4,192
2024-03-05,9.5,4.6,7.0,7.4,19.2,214
2024-03-06,9.6,2.9,6.3,2.8,10.0,29
2024-03-07,12.8,1.2,6.6,0.0,19.3,92
2024-03-08,13.6,2.6,8.4,0.0,25.6,119
2024-03-09,13.6,6.0,9.2,4.9,25.5,142
2024-03-10,10.6,5.3,7.8,2.7,13.8,192
2024-03-11,12.1,4.1,7.7,1.6,20.3,268
2024-03-12,11.6,6.8,9.1,5.2,18.4,234
2024-03-13,14.3,8.6,11.5,0.0,16.1,225
2024-03-14,17.5,5.6,11.3,0.0,16.7,188
2024-03-15,16.1,11.4,13.1,7.2,28.8,231
2024-03-16,14.7,9.6,11.8,0.4,21.6,264
2024-03-17,15.5,9.0,11.5,5.0,16.1,182
2024-03-18,16.2,10.2,12.8,3.0,12.4,274
2024-03-19,17.2,6.8,11.6,0.0,10.4,250
2024-03-20,19.2,6.1,12.5,0.0,9.4,98
2024-03-21,18.1,7.5,12.5,0.0,11.3,317
2024-03-22,17.6,7.2,11.5,0.8,19.4,288
2024-03-23,10.9,5.1,7.5,7.6,28.4,272
2024-03-24,11.4,3.9,7.1,0.8,28.3,276
2024-03-25,12.9,1.7,7.6,0.0,21.1,133
2024-03-26,12.5,5.5,9.5,8.0,23.6,170
2024-03-27,12.5,5.0,8.2,1.3,29.0,191
2024-03-28,12.0,5.6,9.2,3.5,39.0,204
2024-03-29,13.3,8.4,10.5,8.3,22.4,196
2024-03-30,12.1,6.6,9.0,11.6,14.9,186
2024-03-31,14.0,6.2,10.0,2.4,22.7,156
2024-04-01,13.7,6.7,9.9,1.7,23.4,220
2024-04-02,13.9,7.6,10.7,0.8,33.7,215
2024-04-03,16.1,10.0,12.7,7.3,28.2,223
2024-04-04,18.0,12.3,14.4,11.3,39.8,224
2024-04-05,18.1,12.3,15.1,3.3,26.3,192
2024-04-06,24.1,12.7,17.3,0.0,23.2,178
2024-04-07,17.1,12.6,15.3,14.5,17.6,217
2024-04-08,21.4,8.3,14.5,4.4,20.3,186
2024-04-09,12.5,7.3,9.9,1.2,31.7,247
